"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024127","1948-01","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","5",",X","1",",X","0",",X","5",",X","1",",X","0",",X","27",",X","5",",X","0",",X","0",",X","2","","","","19480119",",,X","19480119","+,,X","19480118",",,X","","","19480118",",,X","19480107","+,,X","-15.6",",X,19,","76",",,X,19,+","91",",,X,18,","4.8",",,X,18,","12.8",",X,07,+","","","","","","","601.0",",X","","","","","","","","","","","","","","","","","","","","","8.7",",,,X","","","","","","","","","94",",,,X","-1.05",",X","4.08",",,,X","-6.18",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-02","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","6",",X","5",",X","0",",X","6",",X","3",",X","0",",X","26",",X","4",",X","0",",X","0",",X","1","","","","19480212",",,X","19480210",",,X","19480209",",,X","1","","19480222",",,X","19480216",",,X","-16.1",",X,12,","76",",,X,10,","71",",,X,09,","9.7",",,X,22,","14.4",",X,16,","","","","","","","512.3",",X","","","","","","","","","","","","","","","","","","","","","21.9",",,,X","","","","","","","","","196",",,,X","0.67",",X","6.07",",,,X","-4.73",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-03","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","12",",X","6",",X","0",",X","7",",X","5",",X","0",",X","25",",X","2",",X","0",",X","0",",X","2","","","","19480321","+,,X","19480330","+,,X","19480330","+,,X","","","19480330",",,X","19480323",",,X","-10.0",",X,21,+","76",",,X,30,+","122",",,X,30,+","18.3",",,X,30,","17.2",",X,23,","","","","","","","505.5",",X","","","","","","","","","","","","","","","","","","","","","58.5",",,,X","","","","","","","","","522",",,,X","2.03",",X","7.15",",,,X","-3.09",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-04","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.3","0","0.3",",X","7",",X","5",",X","0",",X","0",",X","1",",X","0",",X","6",",X","0",",X","6",",X","0",",X","1","","","","19480407",",,X","19480406",",,X","19480406",",,X","1","","19480410","+,,X","19480428",",,X","-3.3",",X,07,","0",",T,X,06,","38",",,X,06,","9.7",",,X,10,+","26.7",",X,28,","","","","","","","254.5",",X","","","","","","","","","","","","","","","","","","","","","39.7",",,,X","","","","","","","","","48",",,,X","9.86",",X","16.14",",,,X","3.58",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-05","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","27.9","0","27.6",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","21",",X","1",",X","","","","","19480503",",,X","19480531","+,,X","19480509","+,,X","2","","19480508","+,,X","19480516",",,X","-2.2",",X,03,","0",",,X,31,+","0",",T,X,09,+","2.8",",,X,08,+","32.2",",X,16,","","","","","","","130.0",",X","","","","","","","","","","","","","","","","","","","","","6.6",",,,X","","","","","","","","","0",",T,,X","15.03",",X","23.07",",,,X","6.99",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-06","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","101.3","0","73.4",",X","8",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","7",",X","1","","","","19480622",",,X","19480630","+,,X","19480630","+,,X","6","","19480621",",,X","19480630",",,X","7.8",",X,22,","0",",,X,30,+","0",",,X,30,+","44.5",",,X,21,","35.0",",X,30,","","","","","","","23.0",",X","","","","","","","","","","","","","","","","","","","","","62.9",",,,X","","","","","","","","","0",",,,X","20.01",",X","27.82",",,,X","12.20",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-07","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","288.0","0","186.7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","19480729",",,0","19480731","+,,0","19480731","+,,0","5","","19480724",",,0","19480710",",,0","7.2",",0,29,","0",",,0,31,+","0",",,0,31,+","4.6",",,0,24,","37.8",",0,10,","3.0","0","","","","","3.0",",0","","","","","","","","","","","","","","","","","","","","","10.0",",,,0","","","","","","","","","0",",,,0","24.26",",0","32.86",",,,0","15.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-08","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","470.5","0","182.5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","19480825",",,0","19480831","+,,0","19480831","+,,0","6","","19480805",",,0","19480829",",,0","7.8",",0,25,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,05,","37.2",",0,29,","5.2","0","","","","","2.2",",0","","","","","","","","","","","","","","","","","","","","","12.5",",,,0","","","","","","","","","0",",,,0","24.15",",0","32.70",",,,0","15.60",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-09","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","535.6","0","65.1",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","7",",0","","","","","19480927",",,0","19480930","+,,0","19480930","+,,0","3","","19480918",",,0","19480914",",,0","1.1",",0,27,","0",",,0,30,+","0",",,0,30,+","10.7",",,0,18,","35.6",",0,14,","54.7","0","","","","","49.5",",0","","","","","","","","","","","","","","","","","","","","","15.0",",,,0","","","","","","","","","0",",,,0","18.85",",0","27.21",",,,0","10.50",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-10","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","541.4","0","5.8",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","14",",0","0",",0","","","","","19481017",",,0","19481031","+,,0","19481028","+,,0","2","","19481005",",,0","19481002",",,0","-2.2",",0,17,","0",",,0,31,+","0",",T,0,28,+","8.4",",,0,05,","28.9",",0,02,","265.1","0","","","","","210.4",",0","","","","","","","","","","","","","","","","","","","","","22.1",",,,0","","","","","","","","","0",",T,,0","11.73",",0","19.11",",,,0","4.36",",,,0","","","","","","","","","","","","","","","","","","","","","",""
